id1,id2,score,is_correct,classification
metabooks_391993,goodreads_370,0.8,False,FP
metabooks_391993,goodreads_379,0.8,False,FP
metabooks_392661,goodreads_370,0.8,False,FP
metabooks_392661,goodreads_379,0.8,False,FP
metabooks_415997,goodreads_370,0.8,False,FP
metabooks_415997,goodreads_379,0.8,False,FP
metabooks_443465,goodreads_370,0.8,False,FP
metabooks_443465,goodreads_379,0.8,False,FP
metabooks_516170,goodreads_370,0.8,False,FP
metabooks_516170,goodreads_379,0.8,False,FP
metabooks_516170,goodreads_2028,0.8,False,FP
metabooks_516170,goodreads_2482,0.8,False,FP
metabooks_505604,goodreads_9120,0.8,False,FP
metabooks_505604,goodreads_32983,0.8,False,FP
metabooks_505604,goodreads_33166,0.8,False,FP
metabooks_527343,goodreads_14498,0.7897659724977577,False,FP
metabooks_487120,goodreads_48610,0.8071428571428572,False,FP
metabooks_467271,goodreads_48610,0.729135060330583,False,FP
metabooks_427474,goodreads_14701,0.8776249980926515,False,FP
metabooks_154235,goodreads_32814,0.8047619047619048,False,FP
metabooks_221076,goodreads_32814,0.8547619047619048,False,FP
metabooks_133367,goodreads_52396,0.8500000000000001,False,FP
metabooks_419885,goodreads_52396,0.8,False,FP
metabooks_392275,goodreads_45583,0.7061626825871119,False,FP
metabooks_435613,goodreads_45583,0.7333169288795847,False,FP
metabooks_91603,goodreads_11838,0.8095461555627677,False,FP
metabooks_425930,goodreads_11838,0.8699000024795533,False,FP
metabooks_26058,goodreads_42585,0.7255928946018455,False,FP
metabooks_87465,goodreads_51022,0.7643464555811526,False,FP
metabooks_177871,goodreads_6393,0.721076426084887,False,FP
metabooks_155069,goodreads_419,0.7941213608149463,False,FP
metabooks_405155,goodreads_419,0.7914213562373096,False,FP
metabooks_377932,goodreads_44186,0.823121357000249,False,FP
metabooks_278192,goodreads_5873,0.7476713562373095,False,FP
metabooks_34881,goodreads_12919,0.7914213562373096,False,FP
metabooks_482803,goodreads_47996,0.8038461538461539,False,FP
metabooks_182275,goodreads_47996,0.7114814784577043,False,FP
metabooks_504269,goodreads_6704,0.8,False,FP
metabooks_342313,goodreads_1931,0.8031250000000001,False,FP
metabooks_363330,goodreads_1931,0.8031250000000001,False,FP
metabooks_396284,goodreads_42326,0.8031250000000001,False,FP
metabooks_89316,goodreads_81,0.8038461538461539,False,FP
metabooks_174600,goodreads_81,0.8035714285714286,False,FP
metabooks_269508,goodreads_81,0.8035714285714286,False,FP
metabooks_344763,goodreads_81,0.8,False,FP
metabooks_453553,goodreads_81,0.8035714285714286,False,FP
metabooks_441324,goodreads_658,0.7,False,FP
metabooks_441324,goodreads_2877,0.8,False,FP
metabooks_441324,goodreads_4464,0.8,False,FP
metabooks_34294,goodreads_3871,0.7485642133801667,False,FP
metabooks_43203,goodreads_3871,0.7919642149060455,False,FP
metabooks_88397,goodreads_3871,0.7564642129986969,False,FP
metabooks_278992,goodreads_3871,0.790564211472818,False,FP
metabooks_231177,goodreads_9660,0.8,False,FP
metabooks_231177,goodreads_19089,0.8,False,FP
metabooks_532584,goodreads_25098,0.7892213583353931,False,FP
metabooks_278040,goodreads_531,0.8481250000000001,False,FP
metabooks_302829,goodreads_531,0.8486666647593182,False,FP
metabooks_367232,goodreads_531,0.8202250003814698,False,FP
metabooks_447148,goodreads_531,0.8066666666666668,False,FP
metabooks_355813,goodreads_9816,0.80625,False,FP
metabooks_336334,goodreads_24137,0.7949193338482967,False,FP
metabooks_308478,goodreads_34810,0.8225,False,FP
metabooks_199262,goodreads_3621,0.8,False,FP
metabooks_32005,goodreads_6852,0.8541666666666667,False,FP
metabooks_19626,goodreads_26158,0.7523136632620452,False,FP
metabooks_318351,goodreads_24369,0.7914213562373096,False,FP
metabooks_493832,goodreads_16551,0.7741816691267217,False,FP
metabooks_133100,goodreads_40892,0.7249428568567547,False,FP
metabooks_410763,goodreads_13124,0.8,False,FP
metabooks_410763,goodreads_24709,0.8,False,FP
metabooks_54120,goodreads_21955,0.8,False,FP
metabooks_131366,goodreads_51771,0.8566666666666668,False,FP
metabooks_485969,goodreads_51771,0.8074666682879131,False,FP
metabooks_24281,goodreads_23044,0.7772625335185209,False,FP
metabooks_530967,goodreads_42855,0.7071428571428571,False,FP
metabooks_131458,goodreads_37193,0.71788300154489,False,FP
metabooks_464521,goodreads_27038,0.8164213562373096,False,FP
metabooks_5775,goodreads_21073,0.90099999666214,False,FP
metabooks_522820,goodreads_44521,0.7833333333333334,False,FP
metabooks_323203,goodreads_20879,0.9026315789473686,False,FP
metabooks_366284,goodreads_20879,0.8026315789473685,False,FP
metabooks_351257,goodreads_27800,0.7947546895706429,False,FP
metabooks_97199,goodreads_842,0.8,False,FP
metabooks_123246,goodreads_842,0.8500000000000001,False,FP
metabooks_307815,goodreads_842,0.8250000000000001,False,FP
metabooks_473834,goodreads_842,0.8,False,FP
metabooks_261826,goodreads_5558,0.7154700538379252,False,FP
metabooks_512762,goodreads_5558,0.7154700538379252,False,FP
metabooks_56779,goodreads_27593,0.7033904520791032,False,FP
metabooks_529341,goodreads_41031,0.7645911082187165,False,FP
metabooks_111495,goodreads_32431,0.8464213562373096,False,FP
metabooks_133022,goodreads_38952,0.8155193356602779,False,FP
metabooks_305209,goodreads_7883,0.8576000010967255,False,FP
metabooks_47516,goodreads_7883,0.7070925528371099,False,FP
metabooks_233035,goodreads_7883,0.75709255283711,False,FP
metabooks_440913,goodreads_17128,0.8500000000000001,False,FP
metabooks_63810,goodreads_31790,0.7264911064067352,False,FP
metabooks_135593,goodreads_31790,0.7294322828773234,False,FP
metabooks_336761,goodreads_31790,0.7264911064067352,False,FP
metabooks_251357,goodreads_28172,0.8029411764705883,False,FP
metabooks_40982,goodreads_28172,0.71021755283711,False,FP
metabooks_167097,goodreads_3453,0.7441991340150873,False,FP
metabooks_6455,goodreads_932,0.7584463572863513,False,FP
metabooks_43974,goodreads_932,0.7445463562373096,False,FP
metabooks_288914,goodreads_932,0.7445463562373096,False,FP
metabooks_501137,goodreads_932,0.7945463562373096,False,FP
metabooks_458336,goodreads_17986,0.7914213562373096,False,FP
metabooks_239708,goodreads_5770,0.831703704982319,False,FP
