id,title,book-author,year-of-publication,publisher,isbn_clean
amazon_17,more cunning than man a social history of rats and man,robert hendrickson,1999,Kensington Publishing Corp.,1575663937
amazon_20,beloved plume contemporary fiction,toni morrison,1994,Plume,0452264464
amazon_21,our dumb century the onion presents 100 years of headlines from americas finest news source,the onion,1999,Three Rivers Press,0609804618
amazon_23,if id known then what i know now why not learn from the mistakes of others you cant afford to make them all yourself,j r parrish,2003,Cypress House,1879384493
amazon_28,airframe,michael crichton,1997,Ballantine Books,0345402871
amazon_38,to kill a mockingbird,harper lee,1988,Little Brown &amp; Company,0446310786
amazon_39,seabiscuit an american legend,laura hillenbrand,2002,Ballantine Books,0449005615
amazon_44,downtown,anne rivers siddons,1995,HarperTorch,0061099686
amazon_49,purity in death,jd robb,2002,Berkley Publishing Group,042518630X
amazon_62,shabanu daughter of the wind border trilogy,suzanne fisher staples,1991,Laurel Leaf,0679810307
amazon_81,anils ghost,michael ondaatje,2000,Knopf,0375410538
amazon_84,turning thirty,mike gayle,2000,Hodder &amp; Stoughton General Division,0340767936
amazon_86,my first cousin once removed money madness and the family of robert lowell,sarah payne stuart,1999,Perennial,0060930365
amazon_98,female intelligence,jane heller,2001,St. Martin's Press,0312261594
amazon_102,rich dad poor dad what the rich teach their kids about moneythat the poor and middle class do not,robert t kiyosaki,2000,Warner Books,0446677450
amazon_117,the short forever,stuart woods,2003,Signet Book,0451208080
amazon_127,the girl who loved tom gordon,stephen king,2000,Pocket,0671042858
amazon_145,hush,anne frasier,2002,Onyx Books,0451410319
amazon_149,rebecca,daphne du maurier,1994,Avon,0380778556
amazon_155,the brimstone wedding,barbara vine,1997,Penguin Books Ltd,0140252800
amazon_158,puerto vallarta squeeze,robert james waller,1995,Warner Books,044651747X
amazon_161,snow angels,stewart onan,1995,Penguin Books,0140250964
amazon_175,night mare xanth novels paperback,piers anthony,1990,Del Rey Books,0345354931
amazon_209,protect and defend,richard north patterson,2001,Ballantine Books,0345404793
amazon_212,plainsong vintage contemporaries,kent haruf,2000,Vintage,0375705856
amazon_214,all that remains kay scarpetta mysteries paperback,patricia d cornwell,1993,Avon,0380718332
amazon_216,petals on the river,kathleen e woodiwiss,1997,Avon Trade,038076654X
amazon_222,bleachers,john grisham,2003,Doubleday,0385511612
amazon_226,roses are red alex cross novels,james patterson,2001,Warner Vision,0446605484
amazon_227,the rescue,nicholas sparks,2001,Warner Books,0446610399
amazon_229,patty janes house of curl ballantine readers circle,lorna landvik,1996,Ballantine Books,0449911004
amazon_247,life of pi,yann martel,2002,Harcourt,0151008116
amazon_251,chicken soup for the womans soul chicken soup for the soul series paper,jack canfield,1996,Health Communications,1558744150
amazon_256,thief of time,terry pratchett,2001,HarperCollins Publishers,0060199563
amazon_261,jingo a discworld novel discworld seriesterry pratchett,terry pratchett,1998,HarperPrism,0061050474
amazon_266,the wind in the willows,kenneth grahame,1996,St. Martin's Press,0312148267
amazon_276,the subtle knife his dark materials book 2,philip pullman,2002,Knopf Books for Young Readers,0375823468
amazon_279,the great god pan,donna jo napoli,2003,Wendy Lamb Books,0385327773
amazon_280,possession a romance,a s byatt,1990,Random House Inc,0394586239
amazon_292,angels amp insects two novellas,as byatt,1994,Vintage,0679751343
amazon_293,catch 22,joseph heller,1996,Simon &amp; Schuster,0684833395
amazon_296,the folk of the faraway tree,enid blyton,2002,Egmont Childrens Books,0749748028
amazon_309,the perfect storm a true story of men against the sea,sebastian junger,1999,Perennial,0060977477
amazon_322,a small dark place,martin schenk,1999,Ballantine Books,0345430476
amazon_324,babyhood,paul reiser,1998,Avon,0380728729
amazon_337,last chance to see,douglas adams,1992,Ballantine Books,0345371984
amazon_338,vinegar hill oprahs book club paperback,a manette ansay,1998,Perennial,0380730138
amazon_341,desert notesriver notes,barry lopez,1990,Quill (HarperCollins),0380711109
amazon_356,james and the giant peach,roald dahl,2000,Penguin USA (Paper),0140374248
amazon_357,the secret life of bees,sue monk kidd,2003,Penguin Books,0142001740
amazon_360,the ladies of missalonghi,colleen mccullough,1988,Avon,0380704587
amazon_362,the firm,john grisham,1991,Doubleday Books,0385416342
amazon_372,i spy spooky night a book of picture riddles i spy books,walter wick,1996,Scholastic,0590481371
amazon_397,rosies walk,pat hutchins,1971,Aladdin,0020437501
amazon_404,divine secrets of the yaya sisterhood a novel,rebecca wells,1996,HarperCollins,0060173289
amazon_405,lakota woman,dog mary crow,1991,Perennial,0060973897
amazon_406,the perfect storm a true story of men against the sea,sebastian junger,1998,HarperTorch,006101351X
amazon_465,sheldon amp mrs levine an excruciating correspondence,sam bobrick,1994,Price Stern Sloan,0843136685
amazon_467,oliver twist great illustrated classics,charles dickens,1989,Playmore Inc. Publishers,0866119566
amazon_474,cloud nine,luanne rice,2000,Bantam Books,055358099X
amazon_475,the lovely bones,alice sebold,2004,Back Bay Books,0316168815
amazon_482,sophies world a novel about the history of philosophy berkeley signature edition,jostein gaarder,1997,Berkley Publishing Group,0425156842
amazon_483,black and blue,anna quindlen,1999,Dell,0440226104
amazon_490,russia house the,john le carre,1990,Bantam,0553285343
amazon_496,the messenger,joseph girzone,2002,Image,0385495145
amazon_497,sisters of the earth womens prose and poetry about nature,lorraine anderson,1991,Vintage Books USA,0679733825
amazon_498,left behind a novel of the earths last days left behind no 1,tim lahaye,1996,Tyndale House Publishers,0842329129
amazon_503,the shining,stephen king,2001,Pocket,0743424425
amazon_507,mount vernon love story a novel of george and martha washington,mary higgins clark,2002,Simon &amp; Schuster,0743229878
amazon_513,the saints of big harbour a novel,lynn coady,2002,Houghton Mifflin Company,0618119760
amazon_519,a suitable boy novel a,vikram seth,1994,Perennial,0060925000
amazon_526,the cat who wasnt there,lilian jackson braun,1992,Putnam Pub Group,0399137807
amazon_538,unattainable earth,czeslaw milosz,1987,Ecco Press,0880011025
amazon_565,rules of the wild,francesca marciano,1998,Random House Inc,0375403582
amazon_572,the rime of the ancient mariner and other poems,samuel taylor coleridge,1992,Dover Publications,0486272664
amazon_574,in country ri,bobbie ann mason,1986,Perennial,0060913509
amazon_579,milk and honey peter deckerrina lazarus novels,faye kellerman,2002,Avon,0380732688
amazon_581,night tales,nora roberts,2000,Silhouette,0373484100
amazon_582,a thousand acres ballantine readers circle,jane smiley,1992,Ballantine Books,0449907481
amazon_585,rivers end,nora roberts,2003,Jove Books,0515127833
amazon_587,the straw men,michael marshall,2002,Jove Books,0515134279
amazon_591,warlock a novel of ancient egypt,wilbur smith,2002,St. Martin's Paperbacks,0312980388
amazon_596,guilty as sin,tami hoag,1997,Bantam,0553564528
amazon_598,the second time around a novel,mary higgins clark,2004,Pocket,0743412621
amazon_600,the canopy,angela elwell hunt,2003,WestBow Press,0849943450
amazon_608,sun signs,linda goodman,1981,Bantam Doubleday Dell,0553202294
amazon_609,the vampire lestat vampire chronicles book ii,anne rice,1986,Ballantine Books,0345313860
amazon_610,the mummy or ramses the damned,anne rice,1991,Ballantine Books,0345369947
amazon_613,your erroneous zones,wayne w dyer,1976,Harpercollins,0308102282
amazon_617,the diary of jack the ripperthe discovery the investigation the debate,jack,1993,Hyperion Books,1562827049
amazon_649,the next accident,lisa gardner,2002,Bantam,0553578693
amazon_651,the pet shop mystery boxcar children special paper no 7,gertrude chandler warner,1996,Albert Whitman &amp; Company,0807565288
amazon_654,the subtle knife his dark materials book 2,philip pullman,1998,Del Rey,0345413369
amazon_657,if ever i return pretty peggyo,sharyn mccrumb,1991,Fawcett Books,0345369068
