id1,id2,label
metabooks_224757,amazon_60434,0
metabooks_407188,amazon_127044,0
metabooks_178092,amazon_188970,0
metabooks_478612,amazon_105979,0
metabooks_446358,amazon_73210,0
metabooks_401359,amazon_51754,0
metabooks_274332,amazon_162983,0
metabooks_457663,amazon_233175,0
metabooks_120222,amazon_53252,0
metabooks_448591,amazon_8987,0
metabooks_101220,amazon_34868,0
metabooks_515155,amazon_2646,0
metabooks_317636,amazon_232916,0
metabooks_459245,amazon_159777,0
metabooks_33900,amazon_15177,0
metabooks_252593,amazon_67793,0
metabooks_299628,amazon_60311,0
metabooks_238217,amazon_25988,0
metabooks_182261,amazon_176912,0
metabooks_296609,amazon_232437,0
metabooks_192355,amazon_237435,0
metabooks_354737,amazon_127997,0
metabooks_480129,amazon_86012,0
metabooks_439614,amazon_113563,0
metabooks_56422,amazon_251059,0
metabooks_54360,amazon_242495,0
metabooks_75202,amazon_138603,0
metabooks_502700,amazon_117821,0
metabooks_375406,amazon_138010,0
metabooks_444447,amazon_215444,0
metabooks_90945,amazon_86911,0
metabooks_4740,amazon_264706,0
metabooks_99178,amazon_179530,0
metabooks_179730,amazon_123452,0
metabooks_164967,amazon_54584,0
metabooks_92167,amazon_51540,0
metabooks_134878,amazon_132101,0
metabooks_460832,amazon_239211,0
metabooks_107158,amazon_61588,0
metabooks_31435,amazon_32717,0
metabooks_26704,amazon_84987,0
metabooks_65379,amazon_28731,0
metabooks_480236,amazon_150502,0
metabooks_339264,amazon_101442,0
metabooks_356267,amazon_48478,0
metabooks_322292,amazon_20406,0
metabooks_475175,amazon_7788,0
metabooks_242253,amazon_81525,0
metabooks_118872,amazon_152151,0
metabooks_71086,amazon_29953,0
metabooks_302829,amazon_20954,0
metabooks_57140,amazon_95303,0
metabooks_313943,amazon_263200,0
metabooks_311646,amazon_165076,0
metabooks_109170,amazon_2402,0
metabooks_405642,amazon_56870,0
metabooks_486821,amazon_204645,0
metabooks_349642,amazon_155080,0
metabooks_2938,amazon_150063,0
metabooks_356590,amazon_32727,0
metabooks_431674,amazon_27063,0
metabooks_200635,amazon_10518,0
metabooks_53075,amazon_176736,0
metabooks_438446,amazon_121350,0
metabooks_355075,amazon_238211,0
metabooks_174484,amazon_67697,0
metabooks_115647,amazon_18350,0
metabooks_250627,amazon_19619,0
metabooks_394482,amazon_74501,0
metabooks_152845,amazon_139184,0
metabooks_362936,amazon_74214,0
metabooks_46945,amazon_14757,0
metabooks_267112,amazon_33519,0
metabooks_51169,amazon_261621,0
metabooks_508435,amazon_32179,0
metabooks_142073,amazon_136093,0
metabooks_294796,amazon_47553,0
metabooks_520732,amazon_242179,0
metabooks_363180,amazon_152616,0
metabooks_504274,amazon_58248,0
metabooks_121473,amazon_135991,0
metabooks_271602,amazon_24528,0
metabooks_163998,amazon_8002,0
metabooks_418683,amazon_26667,0
metabooks_479642,amazon_44610,0
metabooks_289664,amazon_46565,0
metabooks_219816,amazon_153037,0
metabooks_440651,amazon_206052,0
metabooks_210086,amazon_151303,0
metabooks_107462,amazon_157249,0
metabooks_144914,amazon_61751,0
metabooks_47785,amazon_207321,0
metabooks_281113,amazon_154270,0
metabooks_114650,amazon_232923,0
metabooks_511173,amazon_268378,0
metabooks_532311,amazon_105561,0
metabooks_59237,amazon_84950,0
metabooks_390447,amazon_153638,0
metabooks_31745,amazon_173322,0
metabooks_203717,amazon_180128,0
metabooks_417168,amazon_154137,0
metabooks_318599,amazon_254672,0
metabooks_304032,amazon_35703,0
metabooks_205683,amazon_185473,0
metabooks_449770,amazon_42997,0
metabooks_208028,amazon_103838,0
metabooks_214915,amazon_24017,0
metabooks_223721,amazon_89681,0
metabooks_195307,amazon_182841,0
metabooks_226363,amazon_161068,0
metabooks_515694,amazon_217030,0
metabooks_532980,amazon_219603,0
metabooks_194440,amazon_158336,0
metabooks_434037,amazon_144364,0
metabooks_404889,amazon_2819,0
metabooks_19937,amazon_91791,0
metabooks_397427,amazon_106141,0
metabooks_401376,amazon_93352,0
metabooks_93334,amazon_156231,0
metabooks_134246,amazon_47773,0
metabooks_117376,amazon_55472,0
metabooks_369267,amazon_185543,0
metabooks_37817,amazon_178690,0
metabooks_386973,amazon_16560,0
metabooks_263259,amazon_124404,0
metabooks_14661,amazon_52337,0
metabooks_516109,amazon_117950,0
metabooks_492648,amazon_255811,0
metabooks_222606,amazon_7366,0
metabooks_483442,amazon_26160,0
metabooks_127903,amazon_229238,0
metabooks_424011,amazon_63248,0
metabooks_164990,amazon_267437,0
metabooks_28031,amazon_149422,0
metabooks_458851,amazon_58845,0
metabooks_52377,amazon_126973,0
metabooks_405709,amazon_195608,0
metabooks_341166,amazon_53969,0
metabooks_227842,amazon_30817,0
metabooks_48551,amazon_246238,0
metabooks_283329,amazon_82028,0
metabooks_73957,amazon_50799,0
metabooks_44571,amazon_201841,0
metabooks_314090,amazon_57690,0
metabooks_360301,amazon_30737,0
metabooks_163614,amazon_187054,0
metabooks_159846,amazon_18906,0
metabooks_523563,amazon_75507,0
metabooks_52557,amazon_47567,0
metabooks_237771,amazon_53910,0
metabooks_440096,amazon_33833,0
metabooks_318246,amazon_200960,0
metabooks_242106,amazon_253118,0
metabooks_458658,amazon_59255,0
metabooks_140735,amazon_151663,0
metabooks_38780,amazon_9478,0
metabooks_164062,amazon_233049,0
metabooks_44885,amazon_251134,0
metabooks_112152,amazon_203238,0
metabooks_95920,amazon_215255,0
metabooks_502878,amazon_96603,0
metabooks_279314,amazon_7065,0
metabooks_93554,amazon_158977,0
metabooks_48361,amazon_51289,0
metabooks_277999,amazon_103364,0
metabooks_310975,amazon_7261,0
metabooks_69491,amazon_118399,0
metabooks_307358,amazon_148605,0
metabooks_337352,amazon_33425,0
metabooks_174315,amazon_1670,0
metabooks_302213,amazon_52425,0
metabooks_302829,amazon_234091,0
metabooks_502174,amazon_30633,0
metabooks_297008,amazon_94422,0
metabooks_384770,amazon_7737,0
metabooks_69439,amazon_24649,0
metabooks_80025,amazon_91110,0
metabooks_519947,amazon_261938,0
metabooks_168391,amazon_75273,0
metabooks_398475,amazon_156278,0
metabooks_383570,amazon_91649,0
metabooks_254183,amazon_60525,0
metabooks_29338,amazon_83184,0
metabooks_531035,amazon_144298,0
metabooks_285611,amazon_36666,0
metabooks_138573,amazon_9134,0
metabooks_188260,amazon_114538,0
metabooks_490065,amazon_24479,0
metabooks_85082,amazon_184775,0
metabooks_399684,amazon_173483,0
metabooks_420003,amazon_243488,0
metabooks_64143,amazon_66895,0
metabooks_60710,amazon_117905,0
metabooks_166508,amazon_123984,0
metabooks_112041,amazon_256913,0
metabooks_431112,amazon_26813,0
metabooks_359065,amazon_145184,0
metabooks_425880,amazon_167916,0
metabooks_345393,amazon_186112,0
metabooks_187481,amazon_169090,0
metabooks_99791,amazon_1805,0
metabooks_529830,amazon_81766,0
metabooks_147890,amazon_96475,0
metabooks_386886,amazon_108545,0
metabooks_272078,amazon_24614,0
metabooks_362796,amazon_76502,0
metabooks_13595,amazon_215574,0
metabooks_341196,amazon_171304,0
metabooks_115645,amazon_59836,0
metabooks_478064,amazon_68747,0
metabooks_481427,amazon_2373,0
metabooks_460397,amazon_11242,0
metabooks_239338,amazon_48968,0
metabooks_98859,amazon_15265,0
metabooks_54994,amazon_239625,0
metabooks_121858,amazon_248051,0
metabooks_183997,amazon_91316,0
metabooks_139870,amazon_66490,0
metabooks_216080,amazon_48343,0
metabooks_14028,amazon_132957,0
metabooks_240400,amazon_58921,0
metabooks_139134,amazon_32684,0
metabooks_361049,amazon_139159,0
metabooks_6346,amazon_88535,0
metabooks_100356,amazon_50588,0
metabooks_418887,amazon_74054,0
metabooks_92955,amazon_155424,0
metabooks_512832,amazon_28486,0
metabooks_136953,amazon_37001,0
metabooks_395309,amazon_255518,0
metabooks_354204,amazon_125359,0
metabooks_465489,amazon_55785,0
metabooks_436602,amazon_14580,0
metabooks_462606,amazon_158048,0
metabooks_534676,amazon_4532,0
metabooks_118884,amazon_33532,0
metabooks_451652,amazon_196203,0
metabooks_214393,amazon_84285,0
metabooks_271129,amazon_102549,0
metabooks_50245,amazon_86673,0
metabooks_504375,amazon_266239,0
metabooks_158192,amazon_48992,0
metabooks_146006,amazon_120172,0
metabooks_247078,amazon_84888,0
metabooks_303733,amazon_152748,0
metabooks_85239,amazon_184302,0
metabooks_180417,amazon_201601,0
metabooks_84989,amazon_85889,0
metabooks_513658,amazon_36109,0
metabooks_483216,amazon_18988,0
metabooks_100448,amazon_15594,0
metabooks_382665,amazon_65886,0
metabooks_17010,amazon_110874,0
metabooks_256795,amazon_51205,0
metabooks_79169,amazon_23699,0
metabooks_434533,amazon_170684,0
metabooks_4993,amazon_28830,0
metabooks_143352,amazon_26062,0
metabooks_78241,amazon_271225,0
metabooks_513601,amazon_9134,0
metabooks_394795,amazon_261690,0
metabooks_441412,amazon_166444,0
metabooks_309602,amazon_72924,0
metabooks_463394,amazon_247312,0
metabooks_25526,amazon_98262,0
metabooks_173357,amazon_262402,0
metabooks_183223,amazon_51482,0
metabooks_493985,amazon_250224,0
metabooks_279070,amazon_6922,0
metabooks_285765,amazon_83567,0
metabooks_192479,amazon_16202,0
metabooks_297815,amazon_75139,0
metabooks_361028,amazon_163413,0
metabooks_140141,amazon_166088,0
metabooks_408274,amazon_134536,0
metabooks_515751,amazon_94862,0
metabooks_338771,amazon_165236,0
metabooks_185265,amazon_34573,0
metabooks_408786,amazon_177252,0
metabooks_149797,amazon_237203,0
metabooks_481360,amazon_101966,0
metabooks_168849,amazon_246740,0
metabooks_5671,amazon_164338,0
metabooks_414693,amazon_133094,0
metabooks_416442,amazon_3257,0
metabooks_223804,amazon_114601,0
metabooks_521626,amazon_37394,0
metabooks_185785,amazon_234763,0
metabooks_431778,amazon_261830,0
metabooks_204046,amazon_146617,0
metabooks_308446,amazon_99058,0
metabooks_29419,amazon_35183,0
metabooks_365530,amazon_150571,0
metabooks_38439,amazon_13688,0
metabooks_182847,amazon_54773,0
metabooks_239236,amazon_158991,0
metabooks_414067,amazon_108733,0
metabooks_534178,amazon_79739,0
metabooks_122114,amazon_99201,0
metabooks_15113,amazon_45278,0
metabooks_263331,amazon_129294,0
metabooks_56009,amazon_148043,0
metabooks_393212,amazon_90736,0
metabooks_54953,amazon_40189,0
metabooks_387023,amazon_30129,0
metabooks_75497,amazon_11305,0
metabooks_225043,amazon_26887,0
metabooks_114571,amazon_186112,0
metabooks_265027,amazon_15519,0
metabooks_478109,amazon_241866,1
metabooks_471515,amazon_147692,1
metabooks_153302,amazon_175393,1
metabooks_474205,amazon_139591,1
metabooks_238702,amazon_255560,1
metabooks_353051,amazon_92347,1
metabooks_475032,amazon_69449,1
metabooks_390447,amazon_63633,1
metabooks_216393,amazon_165234,1
metabooks_261258,amazon_140636,1
metabooks_501701,amazon_259199,1
metabooks_323879,amazon_258295,1
metabooks_448591,amazon_163986,1
metabooks_64011,amazon_115644,1
metabooks_291575,amazon_68514,1
metabooks_135656,amazon_143413,1
metabooks_326320,amazon_64696,1
metabooks_112236,amazon_99730,1
metabooks_445241,amazon_112730,1
metabooks_191642,amazon_205843,1
metabooks_182847,amazon_75665,1
metabooks_249453,amazon_162470,1
metabooks_370676,amazon_144312,1
metabooks_419629,amazon_227783,1
metabooks_443532,amazon_157117,1
metabooks_481494,amazon_80766,1
metabooks_44451,amazon_53978,1
metabooks_520293,amazon_244882,1
metabooks_383190,amazon_43738,1
metabooks_21083,amazon_244841,1
metabooks_317340,amazon_214876,1
metabooks_104776,amazon_2373,1
metabooks_48469,amazon_164492,1
metabooks_530638,amazon_105823,1
metabooks_108468,amazon_105187,1
metabooks_518025,amazon_84111,1
metabooks_451807,amazon_143828,1
metabooks_234276,amazon_258334,1
metabooks_521830,amazon_33795,1
metabooks_13527,amazon_25583,1
metabooks_194348,amazon_240734,1
metabooks_471167,amazon_23541,1
metabooks_274475,amazon_91776,1
metabooks_285909,amazon_248612,1
metabooks_131251,amazon_129011,1
metabooks_440096,amazon_59706,1
metabooks_67220,amazon_142599,1
metabooks_206531,amazon_220813,1
metabooks_11721,amazon_48387,1
metabooks_457431,amazon_12820,1
metabooks_516800,amazon_201112,1
metabooks_352669,amazon_17546,1
