id1,id2,score,notes
amazon_292,goodreads_25691,0.9323686274509804,comparators=4
amazon_581,goodreads_44377,0.7067379679144385,comparators=4
amazon_581,goodreads_27672,0.7303409090909091,comparators=4
amazon_598,goodreads_9016,0.6701953272414617,comparators=4
amazon_598,goodreads_40600,0.6658550653594771,comparators=4
amazon_609,goodreads_1586,0.786142156862745,comparators=4
amazon_609,goodreads_612,0.6901204177323103,comparators=4
amazon_700,goodreads_15210,0.8528571428571429,comparators=4
amazon_834,goodreads_486,0.9,comparators=4
amazon_1307,goodreads_1052,0.85,comparators=4
amazon_1492,goodreads_26106,0.85,comparators=4
amazon_1494,goodreads_890,0.8486666666666667,comparators=4
amazon_1497,goodreads_1836,1.0,comparators=4
amazon_1846,goodreads_35749,0.9200207412046769,comparators=4
amazon_2003,goodreads_7604,0.9707106781186547,comparators=4
amazon_2003,goodreads_13833,0.8036956687377916,comparators=4
amazon_2068,goodreads_9754,0.7927106781186547,comparators=4
amazon_2068,goodreads_6588,0.6651551225630992,comparators=4
amazon_2068,goodreads_37945,0.6935343101343102,comparators=4
amazon_2376,goodreads_13639,0.858990064289889,comparators=4
amazon_2402,goodreads_2608,0.6680363636363637,comparators=4
amazon_2402,goodreads_2755,0.6733553390593274,comparators=4
amazon_2480,goodreads_45325,0.9707106781186547,comparators=4
amazon_2615,goodreads_38597,0.9447213595499958,comparators=4
amazon_2644,goodreads_601,0.9408248290463863,comparators=4
amazon_2657,goodreads_20657,0.8427428571428571,comparators=4
amazon_2767,goodreads_6698,0.9707106781186547,comparators=4
amazon_2767,goodreads_6666,0.6898290598290598,comparators=4
amazon_2982,goodreads_38876,0.9430783996376421,comparators=4
amazon_3019,goodreads_16495,0.7701742296918768,comparators=4
amazon_3257,goodreads_9232,0.96976,comparators=4
amazon_3300,goodreads_2723,0.7908248290463863,comparators=4
amazon_3420,goodreads_9782,0.8087802285410578,comparators=4
amazon_3420,goodreads_49726,0.7643949295774648,comparators=4
amazon_3420,goodreads_6519,0.7171116723191518,comparators=4
amazon_3530,goodreads_44644,1.0,comparators=4
amazon_3530,goodreads_44385,0.7865882352941177,comparators=4
amazon_3798,goodreads_36323,0.85,comparators=4
amazon_3798,goodreads_35562,0.747588597842835,comparators=4
amazon_3815,goodreads_48886,1.0,comparators=4
amazon_4058,goodreads_7874,0.965304347826087,comparators=4
amazon_4067,goodreads_1566,0.8735132339358754,comparators=4
amazon_4067,goodreads_9639,0.783650387268396,comparators=4
amazon_4182,goodreads_40938,0.9487943262411348,comparators=4
amazon_4201,goodreads_10063,0.8840714285714286,comparators=4
amazon_4282,goodreads_1510,0.6918461538461538,comparators=4
amazon_4301,goodreads_1167,0.7970842490842491,comparators=4
amazon_4465,goodreads_23225,0.7686496580927726,comparators=4
amazon_4859,goodreads_7801,0.7302771090731648,comparators=4
amazon_4859,goodreads_48882,0.6613288024777992,comparators=4
amazon_4859,goodreads_49473,0.6600138429275456,comparators=4
amazon_4862,goodreads_2242,0.8207106781186547,comparators=4
amazon_5224,goodreads_3995,0.951991902834008,comparators=4
amazon_5258,goodreads_16288,0.9634782608695651,comparators=4
amazon_5307,goodreads_2385,0.9426341463414635,comparators=4
amazon_5874,goodreads_4011,0.9057971014492753,comparators=4
amazon_5874,goodreads_42230,0.673488582743512,comparators=4
amazon_5888,goodreads_4183,0.9,comparators=4
amazon_5913,goodreads_7,0.731790121668023,comparators=4
amazon_6083,goodreads_35562,0.8210666666666667,comparators=4
amazon_6083,goodreads_36323,0.7179898989898991,comparators=4
amazon_6091,goodreads_21864,0.7592099239708417,comparators=4
amazon_6197,goodreads_42230,0.8444961240310078,comparators=4
amazon_6197,goodreads_42921,0.7687375886524823,comparators=4
amazon_6197,goodreads_4451,0.6633333333333332,comparators=4
amazon_6283,goodreads_47821,0.9037106781186547,comparators=4
amazon_6340,goodreads_873,1.0,comparators=4
amazon_6385,goodreads_537,0.7891,comparators=4
amazon_6432,goodreads_317,0.9446363636363636,comparators=4
amazon_6432,goodreads_1467,0.715136660724896,comparators=4
amazon_6432,goodreads_18511,0.6671466033966035,comparators=4
amazon_6751,goodreads_9597,0.9,comparators=4
amazon_6833,goodreads_37727,0.7141304347826087,comparators=4
amazon_6864,goodreads_49971,0.9310077541916899,comparators=4
amazon_6876,goodreads_29800,0.6666630463846036,comparators=4
amazon_6883,goodreads_6268,0.9374468085106383,comparators=4
amazon_6981,goodreads_11094,0.972,comparators=4
amazon_6981,goodreads_51080,0.6871380471380472,comparators=4
amazon_7005,goodreads_44386,0.7172329411764706,comparators=4
amazon_7065,goodreads_47061,0.6730555555555555,comparators=4
amazon_7139,goodreads_15585,0.7008292682926829,comparators=4
amazon_7139,goodreads_27910,0.679089430894309,comparators=4
amazon_7261,goodreads_23720,0.7072777777777778,comparators=4
amazon_7261,goodreads_31785,0.7022222222222222,comparators=4
amazon_7261,goodreads_33820,0.6651633986928104,comparators=4
amazon_7301,goodreads_4764,0.9816496580927726,comparators=4
amazon_7374,goodreads_39429,0.8207106781186547,comparators=4
amazon_7489,goodreads_7224,1.0,comparators=4
amazon_7788,goodreads_28177,0.7682106781186547,comparators=4
amazon_7788,goodreads_16312,0.6983445165024931,comparators=4
amazon_7795,goodreads_41802,0.955375,comparators=4
amazon_7795,goodreads_39496,0.8245833333333333,comparators=4
amazon_7862,goodreads_4520,0.75,comparators=4
amazon_7862,goodreads_10,0.6773931888544893,comparators=4
amazon_7862,goodreads_4038,0.678025910931174,comparators=4
amazon_7990,goodreads_40998,0.9165176715176715,comparators=4
amazon_7990,goodreads_44445,0.6709729729729729,comparators=4
amazon_8109,goodreads_43258,0.8207106781186547,comparators=4
amazon_8146,goodreads_39518,0.85,comparators=4
amazon_8380,goodreads_15522,0.9,comparators=4
amazon_8380,goodreads_38896,0.670967088375065,comparators=4
amazon_8380,goodreads_8120,0.6946666666666667,comparators=4
amazon_8597,goodreads_354,0.8657482517482518,comparators=4
amazon_8623,goodreads_3543,0.9,comparators=4
amazon_8692,goodreads_5832,0.8713174445013803,comparators=4
amazon_8796,goodreads_329,0.75,comparators=4
amazon_8796,goodreads_13963,0.6758106060606061,comparators=4
amazon_8987,goodreads_861,0.75,comparators=4
amazon_8987,goodreads_922,0.6844545454545454,comparators=4
amazon_8987,goodreads_6477,0.7881025641025642,comparators=4
amazon_9109,goodreads_7414,0.8807878323667797,comparators=4
amazon_9134,goodreads_13758,0.77,comparators=4
amazon_9288,goodreads_35536,0.9296557330637097,comparators=4
amazon_9288,goodreads_16438,0.7321001775081541,comparators=4
amazon_9355,goodreads_36801,0.9,comparators=4
amazon_9460,goodreads_13833,0.9151736623367323,comparators=4
amazon_9460,goodreads_33800,0.6681406984026305,comparators=4
amazon_9460,goodreads_7604,0.7765794563991977,comparators=4
amazon_9462,goodreads_35581,0.879582438915997,comparators=4
amazon_9462,goodreads_33800,0.6670856781186547,comparators=4
amazon_9462,goodreads_13833,0.6622228732406059,comparators=4
amazon_9463,goodreads_33800,0.9179872738633357,comparators=4
amazon_9463,goodreads_13833,0.6745306187730531,comparators=4
amazon_9478,goodreads_6543,0.7239186991869918,comparators=4
amazon_9519,goodreads_16438,0.7369450549450549,comparators=4
amazon_10051,goodreads_7893,0.8081059305258633,comparators=4
amazon_10077,goodreads_2072,0.85,comparators=4
amazon_10077,goodreads_1874,0.8212820512820513,comparators=4
amazon_10077,goodreads_3736,0.7108218623481781,comparators=4
amazon_10134,goodreads_38334,0.6654392156862745,comparators=4
amazon_10450,goodreads_38858,0.8711830882352941,comparators=4
amazon_10450,goodreads_14220,0.8711830882352941,comparators=4
amazon_10505,goodreads_412,0.9577350269189626,comparators=4
amazon_10518,goodreads_2680,0.9041803579097497,comparators=4
amazon_10518,goodreads_38353,0.6727188194482112,comparators=4
amazon_10579,goodreads_41754,0.9408248290463863,comparators=4
amazon_10641,goodreads_9569,0.75,comparators=4
amazon_11019,goodreads_10978,0.9496,comparators=4
amazon_11019,goodreads_4982,0.6729259259259259,comparators=4
amazon_11019,goodreads_51848,0.7262222222222222,comparators=4
amazon_11030,goodreads_4471,0.9577350269189626,comparators=4
amazon_11030,goodreads_5523,0.7621563487657791,comparators=4
amazon_11242,goodreads_2438,0.7981702127659575,comparators=4
amazon_11362,goodreads_14596,0.6765714285714286,comparators=4
amazon_11665,goodreads_28451,0.9479971631205674,comparators=4
amazon_11685,goodreads_21462,0.8,comparators=4
amazon_11692,goodreads_9992,0.9,comparators=4
amazon_11794,goodreads_476,0.9091106781186546,comparators=4
amazon_11794,goodreads_1840,0.7414263643931646,comparators=4
amazon_12352,goodreads_36995,0.972,comparators=4
amazon_12399,goodreads_50647,1.0,comparators=4
amazon_12422,goodreads_9924,1.0,comparators=4
amazon_12422,goodreads_38998,0.6770074224021593,comparators=4
amazon_12475,goodreads_9514,0.9707106781186547,comparators=4
amazon_12818,goodreads_2693,0.8846666666666667,comparators=4
amazon_12993,goodreads_8826,0.9408242576881933,comparators=4
amazon_13162,goodreads_18272,0.9,comparators=4
amazon_13178,goodreads_22383,0.75,comparators=4
amazon_13201,goodreads_10410,0.75,comparators=4
amazon_13688,goodreads_50931,0.6924064171122994,comparators=4
amazon_13688,goodreads_22599,0.7221616161616161,comparators=4
amazon_13688,goodreads_32973,0.6744005270092226,comparators=4
amazon_14066,goodreads_43768,0.9707106781186547,comparators=4
amazon_14066,goodreads_14984,0.7460989134127723,comparators=4
amazon_14066,goodreads_44073,0.7485106781186547,comparators=4
amazon_14613,goodreads_50769,0.7694904040404041,comparators=4
amazon_14613,goodreads_46982,0.6649692149531506,comparators=4
amazon_14613,goodreads_14315,0.8086150945333781,comparators=4
amazon_14613,goodreads_17391,0.6756237373737374,comparators=4
amazon_14625,goodreads_32557,0.8393127081752273,comparators=4
amazon_14630,goodreads_17549,0.7611794871794872,comparators=4
amazon_14630,goodreads_16358,0.7990311909391676,comparators=4
amazon_14630,goodreads_6698,0.6665311909391675,comparators=4
amazon_14851,goodreads_39467,0.85,comparators=4
amazon_14851,goodreads_10568,0.6623695652173912,comparators=4
amazon_15187,goodreads_9639,0.9866025403784439,comparators=4
amazon_15244,goodreads_10721,1.0,comparators=4
amazon_15244,goodreads_48742,0.6608455008488965,comparators=4
amazon_15372,goodreads_51259,0.8207106781186547,comparators=4
amazon_15519,goodreads_64,0.724842105263158,comparators=4
amazon_15593,goodreads_13185,0.7361111111111112,comparators=4
amazon_15600,goodreads_41003,0.9707106781186547,comparators=4
amazon_15847,goodreads_4854,0.708,comparators=4
amazon_15868,goodreads_7941,0.9500000000000001,comparators=4
amazon_15977,goodreads_38896,0.85,comparators=4
amazon_15977,goodreads_8120,0.6653773447853214,comparators=4
amazon_15977,goodreads_23804,0.6758333333333334,comparators=4
amazon_16136,goodreads_17474,0.763953921361898,comparators=4
amazon_16136,goodreads_12536,0.668001009444124,comparators=4
amazon_16293,goodreads_12857,1.0,comparators=4
amazon_17193,goodreads_1136,0.9,comparators=4
amazon_17193,goodreads_52102,0.7755757575757576,comparators=4
